node,region,province,municipality,latitude,longitude,att_name,vendor
2102311HDE10FC000377,CENTRO,DISTRITO_FEDERAL,COYOACAN,19.3389,-99.181396,DIFCHT9067,Huawei
ADIFIZC6381,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6381,Ericsson
ADIFIZC6384,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6384,Ericsson
ADIFIZC6386,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6386,Ericsson
ADIFIZC6387,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6387,Ericsson
ADIFIZC6390,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6390,Ericsson
ADIFIZC6391,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6391,Ericsson
AGUAGU0002,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.885,-102.27031,AGUAGU0002,Huawei
AGUAGU0003,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.894899,-102.311997,AGUAGU0003,Huawei
AGUAGU0004,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.868056,-102.285556,AGUAGU0004,Nokia
AGUAGU0005,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.872723,-102.328111,AGUAGU0005,Huawei
AGUAGU0006,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8435,-102.292944,AGUAGU0006,Nokia
AGUAGU0007,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.862144,-102.305,AGUAGU0007,Huawei
AGUAGU0008,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.926235,-102.318056,AGUAGU0008,Huawei
AGUAGU0011,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9103,-102.288101,AGUAGU0011,Huawei
AGUAGU0012,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.700806,-102.310997,AGUAGU0012,Huawei
AGUAGU0013,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.87292,-102.271142,AGUAGU0013,Huawei
AGUAGU0014,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.86175,-102.226472,AGUAGU0014,Huawei
AGUAGU0015,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.924808,-102.292028,AGUAGU0015,Nokia
AGUAGU0016,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.875556,-102.306667,AGUAGU0016,Nokia
AGUAGU0018,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.7313,-102.276338,AGUAGU0018,Huawei
AGUAGU0019,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.882994,-102.249389,AGUAGU0019,Nokia
AGUAGU0020,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.915232,-102.305,AGUAGU0020,Huawei
AGUAGU0021,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.875099,-102.296135,AGUAGU0021,Huawei
AGUAGU0022,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.921022,-102.262033,AGUAGU0022,Huawei
AGUAGU0024,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.90072,-102.254358,AGUAGU0024,Nokia
AGUAGU0025,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9044,-102.28505,AGUAGU0025,Huawei
AGUAGU0026,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.906712,-102.2561,AGUAGU0026,Nokia
AGUAGU0027,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.885389,-102.250889,AGUAGU0027,Nokia
AGUAGU0028,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9395,-102.289056,AGUAGU0028,Nokia
AGUAGU0029,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8605,-102.280014,AGUAGU0029,Huawei
AGUAGU0030,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.871,-102.319229,AGUAGU0030,Huawei
AGUAGU0031,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.890917,-102.283997,AGUAGU0031,Huawei
AGUAGU0033,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8911,-102.296,AGUAGU0033,Nokia
AGUAGU0034,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.870501,-102.255083,AGUAGU0034,Huawei
AGUAGU0035,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.865299,-102.294998,AGUAGU0035,Huawei
AGUAGU0037,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8598,-102.221001,AGUAGU0037,Huawei
AGUAGU0038,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8127,-102.286003,AGUAGU0038,Huawei
AGUAGU0039,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8512,-102.353401,AGUAGU0039,Huawei
AGUAGU0040,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.853425,-102.318001,AGUAGU0040,Huawei
AGUAGU0041,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8829,-102.365161,AGUAGU0041,Huawei
AGUAGU0042,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9326,-102.254997,AGUAGU0042,Huawei
AGUAGU0043,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.907806,-102.237056,AGUAGU0043,Nokia
AGUAGU0044,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.92745,-102.3381,AGUAGU0044,Nokia
AGUAGU0045,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.75491,-102.2775,AGUAGU0045,Huawei
AGUAGU0046,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.825911,-102.284114,AGUAGU0046,Nokia
AGUAGU0047,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.913806,-102.330583,AGUAGU0047,Nokia
AGUAGU0048,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9145,-102.282219,AGUAGU0048,Huawei
AGUAGU0049,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.90316,-102.300036,AGUAGU0049,Nokia
AGUAGU1603,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.809449,-102.299004,AGUAGU1603,Huawei
AGUAGU1604,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.841889,-102.324456,AGUAGU1604,Nokia
AGUAGU1605,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.924507,-102.305492,AGUAGU1605,Huawei
AGUAGU1606,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.936518,-102.243576,AGUAGU1606,Huawei
AGUAGU1607,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.917389,-102.294778,AGUAGU1607,Nokia
AGUAGU1608,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9084,-102.294998,AGUAGU1608,Huawei
AGUAGU1609,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.904402,-102.247002,AGUAGU1609,Huawei
AGUAGU1610,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.866331,-102.239319,AGUAGU1610,Huawei
AGUAGU1613,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8778,-102.271217,AGUAGU1613,Huawei
AGUAGU1615,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.860556,-102.249042,AGUAGU1615,Nokia
AGUAGU1616,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.864416,-102.258916,AGUAGU1616,Nokia
AGUAGU1617,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.852215,-102.244453,AGUAGU1617,Huawei
AGUAGU1619,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.830799,-102.294083,AGUAGU1619,Huawei
AGUAGU1620,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.840099,-102.283008,AGUAGU1620,Huawei
AGUAGU1621,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.861708,-102.269997,AGUAGU1621,Huawei
AGUAGU1622,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.887706,-102.30065,AGUAGU1622,Nokia
AGUAGU1623,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8813,-102.300433,AGUAGU1623,Huawei
AGUAGU1624,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8876,-102.287331,AGUAGU1624,Huawei
AGUAGU1625,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.89864,-102.276001,AGUAGU1625,Huawei
AGUAGU1628,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.884701,-102.308406,AGUAGU1628,Huawei
AGUAGU1629,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.877039,-102.291,AGUAGU1629,Huawei
AGUAGU1631,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.86245,-102.311997,AGUAGU1631,Huawei
AGUAGU1632,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.855444,-102.295998,AGUAGU1632,Huawei
AGUAGU1634,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8355,-102.3209,AGUAGU1634,Nokia
AGUAGU1635,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.846763,-102.301784,AGUAGU1635,Nokia
AGUAGU1636,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.885099,-102.337222,AGUAGU1636,Huawei
AGUAGU1637,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.908806,-102.316492,AGUAGU1637,Huawei
AGUAGU1639,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.940114,-102.310997,AGUAGU1639,Huawei
AGUAGU1641,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.800699,-102.286003,AGUAGU1641,Huawei
AGUAGU1643,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8734,-102.287003,AGUAGU1643,Huawei
AGUAGU1647,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.870812,-102.302106,AGUAGU1647,Nokia
AGUAGU1648,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.854944,-102.306999,AGUAGU1648,Huawei
AGUAGU1649,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8787,-102.243122,AGUAGU1649,Huawei
AGUAGU1650,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.880932,-102.317436,AGUAGU1650,Huawei
AGUAGU1651,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.903601,-102.266998,AGUAGU1651,Huawei
AGUAGU1652,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.884932,-102.318001,AGUAGU1652,Huawei
AGUAGU1653,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8962,-102.286308,AGUAGU1653,Huawei
AGUAGU1654,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.895289,-102.265869,AGUAGU1654,Nokia
AGUAGU1655,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.897589,-102.239998,AGUAGU1655,Huawei
AGUAGU1656,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.884342,-102.22522,AGUAGU1656,Huawei
AGUAGU1657,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.842501,-102.251,AGUAGU1657,Huawei
AGUAGU1658,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.851519,-102.278465,AGUAGU1658,Huawei
AGUAGU1659,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9282,-102.28247,AGUAGU1659,Huawei
AGUAGU1660,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.875,-102.305,AGUAGU1660,Huawei
AGUAGU2578,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.803728,-102.267278,AGUAGU2578,Nokia
AGUAGU2580,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.86916,-102.311409,AGUAGU2580,Huawei
AGUAGU3302,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.854722,-102.25825,AGUAGU3302,Huawei
AGUAGU3548,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.736056,-102.297173,AGUAGU3548,Huawei
AGUAGU3566,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.88081,-102.294243,AGUAGU3566,Huawei
AGUAGU3586,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.881474,-102.282274,AGUAGU3586,Huawei
AGUAGU3724,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.881941,-102.260258,AGUAGU3724,Nokia
AGUCLV0051,PACIFIC,AGUASCALIENTES,CALVILLO,21.858351,-102.713195,AGUCLV0051,Nokia
AGUCLV0052,PACIFIC,AGUASCALIENTES,CALVILLO,21.915701,-102.643032,AGUCLV0052,Huawei
AGUCLV0053,PACIFIC,AGUASCALIENTES,CALVILLO,21.8785,-102.622132,AGUCLV0053,Huawei
AGUCOS0054,PACIFIC,AGUASCALIENTES,COSIO,22.364,-102.305102,AGUCOS0054,Huawei
AGUJSM0055,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.963278,-102.341917,AGUJSM0055,Nokia
AGUJSM0056,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.9636,-102.288048,AGUJSM0056,Huawei
AGUJSM0057,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.886101,-102.531998,AGUJSM0057,Huawei
AGUJSM0058,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.949044,-102.31408,AGUJSM0058,Huawei
AGUJSM0059,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.9994,-102.289002,AGUJSM0059,Huawei
AGUJSM1662,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.938801,-102.321306,AGUJSM1662,Huawei
AGUJSM1663,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.9422,-102.330469,AGUJSM1663,Huawei
AGUJSM1664,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.946928,-102.343132,AGUJSM1664,Huawei
AGUJSM1665,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.969986,-102.327629,AGUJSM1665,Huawei
AGUJSM1666,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.968139,-102.298028,AGUJSM1666,Nokia
AGUJSM1667,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.99125,-102.334222,AGUJSM1667,Huawei
AGUJSM1668,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.955606,-102.296128,AGUJSM1668,Huawei
AGUJSM1669,PACIFIC,AGUASCALIENTES,JESUS_MARIA-AGU,21.957936,-102.310919,AGUJSM1669,Nokia
