node,region,province,municipality,latitude,longitude,att_name,vendor,period
MUMEXJTC4086,CENTRO,MEXICO,JOCOTITLAN,19.682081,-99.759727,MEXJTC4086,Huawei,initial
MUMEXJTC4087,CENTRO,MEXICO,JOCOTITLAN,19.752899,-99.919098,MEXJTC4087,Huawei,initial
MUMEXJUC4034,CENTRO,MEXICO,JUCHITEPEC,19.096741,-98.887695,MEXJUC4034,Huawei,initial
MUMEXMOR4088,CENTRO,MEXICO,MORELOS-EDO,19.805756,-99.717796,MEXMOR4088,Huawei,initial
MUMEXMOR4089,CENTRO,MEXICO,MORELOS-EDO,19.78397,-99.658783,MEXMOR4089,Huawei,initial
MUMEXNEZ6963,CENTRO,DISTRITO_FEDERAL,GUSTAVO_A_MADERO,19.450628,-99.08004,MEXNEZ6963,Huawei,last
MUMEXNEZ6964,CENTRO,DISTRITO_FEDERAL,GUSTAVO_A_MADERO,19.458584,-99.068642,MEXNEZ6964,Huawei,last
MUMEXNEZ6965,CENTRO,DISTRITO_FEDERAL,GUSTAVO_A_MADERO,19.461424,-99.062248,MEXNEZ6965,Huawei,last
MUMEXNEZ6966,CENTRO,MEXICO,NEZAHUALCOYOTL,19.473572,-99.054314,MEXNEZ6966,Huawei,last
MUMEXNEZ6967,CENTRO,MEXICO,NEZAHUALCOYOTL,19.486429,-99.04866,MEXNEZ6967,Huawei,last
MUMEXNEZ6968,CENTRO,MEXICO,ECATEPEC_DE_MORELOS,19.491776,-99.046318,MEXNEZ6968,Huawei,last
MUMEXNEZ6969,CENTRO,MEXICO,ECATEPEC_DE_MORELOS,19.500696,-99.042419,MEXNEZ6969,Huawei,last
MUMEXNIC4090,CENTRO,MEXICO,NICOLAS_ROMERO,19.678514,-99.369316,MEXNIC4090,Huawei,last
MUMEXNIC4091,CENTRO,MEXICO,NICOLAS_ROMERO,19.651247,-99.386543,MEXNIC4091,Huawei,last
MUMEXNIC4092,CENTRO,MEXICO,NICOLAS_ROMERO,19.62957,-99.417763,MEXNIC4092,Huawei,last
MUMEXNIC4093,CENTRO,MEXICO,NICOLAS_ROMERO,19.578226,-99.41713,MEXNIC4093,Huawei,last
MUMEXNPL4038,CENTRO,MEXICO,NAUCALPAN_DE_JUAREZ,19.484531,-99.334686,MEXNPL4038,Huawei,initial
MUMEXOTC4094,CENTRO,MEXICO,OTZOLOTEPEC,19.464491,-99.531631,MEXOTC4094,Huawei,initial
MUMEXOTC4095,CENTRO,MEXICO,OTZOLOTEPEC,19.458523,-99.489349,MEXOTC4095,Huawei,last
MUMEXOTU4096,CENTRO,MEXICO,OTUMBA,19.654083,-98.795334,MEXOTU4096,Huawei,last
MUMEXPAZ4041,CENTRO,MEXICO,LA_PAZ-EDO,19.341398,-98.941612,MEXPAZ4041,Huawei,initial
MUMEXPAZ4042,CENTRO,MEXICO,LA_PAZ-EDO,19.36548,-98.932869,MEXPAZ4042,Huawei,initial
MUMEXPAZ6951,CENTRO,DISTRITO_FEDERAL,IZTAPALAPA,19.372841,-99.016479,MEXPAZ6951,Huawei,last
MUMEXPAZ6952,CENTRO,DISTRITO_FEDERAL,IZTAPALAPA,19.364218,-99.005013,MEXPAZ6952,Huawei,last
MUMEXPAZ6953,CENTRO,DISTRITO_FEDERAL,IZTAPALAPA,19.36021,-98.994301,MEXPAZ6953,Huawei,last
MUMEXPAZ6954,CENTRO,MEXICO,LA_PAZ-EDO,19.35915,-98.976036,MEXPAZ6954,Huawei,last
MUMEXPAZ6955,CENTRO,MEXICO,LA_PAZ-EDO,19.349817,-98.960541,MEXPAZ6955,Huawei,last
MUMEXTCM4044,CENTRO,MEXICO,TECAMAC,19.669497,-98.975304,MEXTCM4044,Huawei,last
MUMEXTCM4045,CENTRO,MEXICO,TECAMAC,19.712805,-98.972778,MEXTCM4045,Huawei,initial
MUMEXTEX4047,CENTRO,MEXICO,TEXCOCO,19.439083,-98.912003,MEXTEX4047,Huawei,initial
MUMEXTGV4100,CENTRO,MEXICO,TENANGO_DEL_VALLE,19.062626,-99.655075,MEXTGV4100,Huawei,initial
MUMEXTIM4101,CENTRO,MEXICO,TIMILPAN,19.872669,-99.730698,MEXTIM4101,Huawei,initial
MUMEXTIM4102,CENTRO,MEXICO,TIMILPAN,19.885799,-99.6875,MEXTIM4102,Huawei,initial
MUMEXTLB6986,CENTRO,DISTRITO_FEDERAL,AZCAPOTZALCO,19.505436,-99.20034,MEXTLB6986,Huawei,last
MUMEXTMC4048,CENTRO,MEXICO,TEMASCALAPA,19.763893,-98.910736,MEXTMC4048,Huawei,initial
MUMEXTMC4103,CENTRO,MEXICO,TEMASCALAPA,19.763983,-98.887199,MEXTMC4103,Huawei,last
MUMEXTMC4104,CENTRO,MEXICO,TEMASCALAPA,19.804417,-98.85083,MEXTMC4104,Huawei,last
MUMEXTMY4105,CENTRO,MEXICO,TEMOAYA,19.51227,-99.57177,MEXTMY4105,Huawei,initial
MUMEXTNG4106,CENTRO,MEXICO,TENANCINGO-EDO,18.920355,-99.557106,MEXTNG4106,Huawei,initial
MUMEXTNG4107,CENTRO,MEXICO,TENANCINGO-EDO,18.993593,-99.569794,MEXTNG4107,Huawei,initial
MUMEXTNG4108,CENTRO,MEXICO,TENANCINGO-EDO,18.931822,-99.595703,MEXTNG4108,Huawei,initial
MUMEXTOL4049,CENTRO,MEXICO,TOLUCA,19.334311,-99.689262,MEXTOL4049,Huawei,initial
MUMEXTOL4050,CENTRO,MEXICO,TOLUCA,19.220901,-99.662552,MEXTOL4050,Huawei,initial
MUMEXTTZ4053,CENTRO,MEXICO,TEPOTZOTLAN,19.72374,-99.227615,MEXTTZ4053,Huawei,initial
MUMEXVCS4058,CENTRO,MEXICO,VALLE_DE_CHALCO_SOLIDARIDAD,19.266733,-98.933891,MEXVCS4058,Huawei,initial
MUMEXVCS4061,CENTRO,MEXICO,VALLE_DE_CHALCO_SOLIDARIDAD,19.275524,-98.958916,MEXVCS4061,Huawei,initial
MUMEXXON4064,CENTRO,MEXICO,XONACATLAN,19.403469,-99.530418,MEXXON4064,Huawei,initial
MUMEXXON4112,CENTRO,MEXICO,XONACATLAN,19.447933,-99.463684,MEXXON4112,Huawei,initial
MUMEXZNP4066,CENTRO,MEXICO,ZINACANTEPEC,19.247576,-99.726753,MEXZNP4066,Huawei,initial
MUMEXZUM4068,CENTRO,MEXICO,ZUMPANGO,19.814068,-98.98056,MEXZUM4068,Huawei,last
MUMEXZUM4069,CENTRO,MEXICO,ZUMPANGO,19.810268,-99.036568,MEXZUM4069,Huawei,last
MUMEXZUM4071,CENTRO,MEXICO,ZUMPANGO,19.811958,-99.145271,MEXZUM4071,Huawei,last
MUMICCTC2442X,PACIFIC,MICHOACAN_DE_OCAMPO,CONTEPEC,19.904499,-100.139,MICCTC2442,Huawei,last
MUMICCTC2442Y,PACIFIC,MICHOACAN_DE_OCAMPO,CONTEPEC,19.904499,-100.139,MICCTC2442,Huawei,last
MUMICCTC2989X,PACIFIC,MICHOACAN_DE_OCAMPO,CONTEPEC,19.891701,-100.195,MICCTC2989,Huawei,last
MUMICCTC2989Y,PACIFIC,MICHOACAN_DE_OCAMPO,CONTEPEC,19.891701,-100.195,MICCTC2989,Huawei,last
MUMICMRL3316X,PACIFIC,MICHOACAN_DE_OCAMPO,MORELIA,19.581699,-101.190002,MICMRL3316,Huawei,last
MUMICVEN4071,PACIFIC,MICHOACAN_DE_OCAMPO,VENUSTIANO_CARRANZA-MIC,20.149048,-102.756477,MICVEN4071,Huawei,initial
MUMORCUA4001,SOUTH,MORELOS,CUAUTLA-MOR,18.867647,-98.94915,MORCUA4001,Huawei,last
MUMORCUA4002,SOUTH,MORELOS,CUAUTLA-MOR,18.858408,-98.959641,MORCUA4002,Huawei,last
MUMOREMZ4004,SOUTH,MORELOS,EMILIANO_ZAPATA-MOR,18.845657,-99.183411,MOREMZ4004,Huawei,initial
MUMORHAC4006,SOUTH,MORELOS,HUITZILAC,19.024994,-99.195877,MORHAC4006,Huawei,last
MUNAYTPI4054,PACIFIC,NAYARIT,TEPIC,21.488161,-104.818108,NAYTPI4054,Huawei,initial
MUNAYTPI4056,PACIFIC,NAYARIT,TEPIC,21.48772,-104.837151,NAYTPI4056,Huawei,initial
MUNAYTPI4057,PACIFIC,NAYARIT,TEPIC,21.466192,-104.79863,NAYTPI4057,Huawei,initial
MUNAYTPI4072,PACIFIC,NAYARIT,TEPIC,21.482075,-104.86145,NAYTPI4072,Huawei,initial
MUNAYXAL4063,PACIFIC,NAYARIT,XALISCO,21.452902,-104.905556,NAYXAL4063,Huawei,last
MUNLEAPO4127,NORTH,NUEVO_LEON,APODACA,25.867443,-100.268723,NLEAPO4127,Huawei,initial
MUNLECIE4128,NORTH,NUEVO_LEON,CIENEGA_DE_FLORES,25.981396,-100.157433,NLECIE4128,Huawei,initial
MUNLECRI4129,NORTH,NUEVO_LEON,SANTA_CATARINA-NLE,25.709457,-100.509476,NLECRI4129,Huawei,initial
MUNLEECR4058,NORTH,NUEVO_LEON,EL_CARMEN,25.943741,-100.36158,NLEECR4058,Huawei,last
MUNLEECR4131,NORTH,NUEVO_LEON,EL_CARMEN,25.860031,-100.310318,NLEECR4131,Huawei,last
MUNLEGEE4000X,NORTH,NUEVO_LEON,GENERAL_ESCOBEDO,25.842957,-100.39827,NLEGEE4000,Huawei,initial
MUNLEGEE4133,NORTH,NUEVO_LEON,GENERAL_ESCOBEDO,25.846537,-100.388161,NLEGEE4133,Huawei,initial
MUNLEGEZ4136,NORTH,NUEVO_LEON,GENERAL_ZUAZUA,25.85634,-100.142319,NLEGEZ4136,Huawei,initial
MUNLEGRS4060,NORTH,NUEVO_LEON,GARCIA,25.801277,-100.611359,NLEGRS4060,Huawei,initial
MUNLEGRS4061,NORTH,NUEVO_LEON,GARCIA,25.79281,-100.559837,NLEGRS4061,Huawei,initial
MUNLEGRS4137,NORTH,NUEVO_LEON,GARCIA,25.819176,-100.624687,NLEGRS4137,Huawei,last
MUNLEGRS4138,NORTH,NUEVO_LEON,GARCIA,25.8016,-100.567284,NLEGRS4138,Huawei,initial
MUNLEHID4064,NORTH,NUEVO_LEON,HIDALGO-NLE,25.987667,-100.455139,NLEHID4064,Huawei,last
MUNLEHID4065,NORTH,NUEVO_LEON,HIDALGO-NLE,25.966675,-100.439903,NLEHID4065,Huawei,initial
MUNLEPES4141,NORTH,NUEVO_LEON,PESQUERIA,25.704798,-100.094948,NLEPES4141,Huawei,initial
MUNLEPES4142,NORTH,NUEVO_LEON,PESQUERIA,25.75746,-100.111786,NLEPES4142,Huawei,last
MUNLESLV4143,NORTH,NUEVO_LEON,SALINAS_VICTORIA,25.911295,-100.246353,NLESLV4143,Huawei,initial
MUNLESLV4144,NORTH,NUEVO_LEON,SALINAS_VICTORIA,25.891323,-100.259277,NLESLV4144,Huawei,initial
MUOAXCAL4202,SOUTH,OAXACA,SAN_ANTONIO_DE_LA_CAL,17.020832,-96.711113,OAXCAL4202,Huawei,initial
MUOAXCIL4014,SOUTH,OAXACA,CUILAPAM_DE_GUERRERO,16.996536,-96.776398,OAXCIL4014,Huawei,initial
MUOAXLCA4016,SOUTH,OAXACA,SANTA_LUCIA_DEL_CAMINO,17.060556,-96.70472,OAXLCA4016,Huawei,initial
MUOAXOAX4022,SOUTH,OAXACA,OAXACA_DE_JUAREZ,17.039167,-96.71389,OAXOAX4022,Huawei,last
MUOAXOAX4025,SOUTH,OAXACA,OAXACA_DE_JUAREZ,17.09342,-96.709671,OAXOAX4025,Huawei,initial
MUOAXOAX4200,SOUTH,OAXACA,OAXACA_DE_JUAREZ,17.05596,-96.73362,OAXOAX4200,Huawei,last
MUOAXSCX4026,SOUTH,OAXACA,SANTA_CRUZ_XOXOCOTLAN,17.018681,-96.750603,OAXSCX4026,Huawei,initial
MUOAXSJA4029,SOUTH,OAXACA,SAN_JACINTO_AMILPAS,17.092272,-96.75589,OAXSJA4029,Huawei,initial
MUOAXSLC1344X,SOUTH,OAXACA,SALINA_CRUZ,16.2318,-95.211403,OAXSLC1344,Huawei,last
MUOAXSTZ4031,SOUTH,OAXACA,SANTA_MARIA_ATZOMPA,17.09827,-96.773697,OAXSTZ4031,Huawei,initial
MUOAXTLC4033,SOUTH,OAXACA,TLALIXTAC_DE_CABRERA,17.076111,-96.65889,OAXTLC4033,Huawei,initial
MUPUEACZ4034,SOUTH,PUEBLA,ACATZINGO,19.023769,-97.802313,PUEACZ4034,Huawei,initial
MUPUEATX4036,SOUTH,PUEBLA,ATLIXCO,18.915268,-98.48188,PUEATX4036,Huawei,initial
MUPUEATX4037,SOUTH,PUEBLA,ATLIXCO,18.891226,-98.51754,PUEATX4037,Huawei,initial
MUPUECHO4039,SOUTH,PUEBLA,CHIAUTZINGO,19.17224,-98.49689,MUPUECHO4039,Huawei,initial
MUPUECHO4040,SOUTH,PUEBLA,CHIAUTZINGO,19.204983,-98.46735,MUPUECHO4040,Huawei,initial
MUPUECMO4041,SOUTH,PUEBLA,CANADA_MORELOS,18.73499,-97.412447,MUPUECMO4041,Huawei,initial
MUPUEDOA4043,SOUTH,PUEBLA,DOMINGO_ARENAS,19.142651,-98.454044,MUPUEDOA4043,Huawei,initial
MUPUEGFA4044,SOUTH,PUEBLA,GENERAL_FELIPE_ANGELES,18.994927,-97.7052,MUPUEGFA4044,Huawei,initial
MUPUEHQC4045,SOUTH,PUEBLA,HUAQUECHULA,18.827361,-98.490111,MUPUEHQC4045,Huawei,initial
MUPUEHQC4046,SOUTH,PUEBLA,HUAQUECHULA,18.804583,-98.507,MUPUEHQC4046,Huawei,initial
MUPUEHQC4047,SOUTH,PUEBLA,HUAQUECHULA,18.804532,-98.48366,MUPUEHQC4047,Huawei,initial
MUPUEHZG4048,SOUTH,PUEBLA,HUEJOTZINGO,19.137642,-98.489825,MUPUEHZG4048,Huawei,initial
MUPUEJCH4201,SOUTH,PUEBLA,SAN_JOSE_CHIAPA,19.222504,-97.769379,PUEJCH4201,Huawei,last
MUPUEPLM4049,SOUTH,PUEBLA,PALMAR_DE_BRAVO,18.828187,-97.573539,MUPUEPLM4049,Huawei,initial
